YSSY,BOREE,,34L,,JET,DH8D,17,
YSSY,BOREE,,34R,,JET,DH8D,17,
YSSY,BOREE,,16L,,JET,DH8D,11,
YSSY,BOREE,,16L,,JET,DH8D,11,
YSSY,BOREE,,07,,JET,DH8D,15,
YSSY,BOREE,,25,,JET,DH8D,14,

YSSY,BOREE,,34L,,NONJET,,20,
YSSY,BOREE,,34R,,NONJET,,20,
YSSY,BOREE,,16L,,NONJET,,12,
YSSY,BOREE,,16L,,NONJET,,12,
YSSY,BOREE,,07,,NONJET,,17,
YSSY,BOREE,,25,,NONJET,,16,

YSSY,YAKKA,,34L,,JET,DH8D,18,
YSSY,YAKKA,,34R,,JET,DH8D,18,
YSSY,YAKKA,,16L,,JET,DH8D,12,
YSSY,YAKKA,,16L,,JET,DH8D,11,
YSSY,YAKKA,,07,,JET,DH8D,15,
YSSY,YAKKA,,25,,JET,DH8D,15,

YSSY,YAKKA,,34L,,NONJET,,20,
YSSY,YAKKA,,34R,,NONJET,,20,
YSSY,YAKKA,,16L,,NONJET,,13,
YSSY,YAKKA,,16L,,NONJET,,13,
YSSY,YAKKA,,07,,NONJET,,17,
YSSY,YAKKA,,25,,NONJET,,16,

YSSY,MARLN,,34L,,JET,DH8D,18,
YSSY,MARLN,,34R,,JET,DH8D,15,
YSSY,MARLN,,16L,,JET,DH8D,17,
YSSY,MARLN,,16L,,JET,DH8D,17,
YSSY,MARLN,,07,,JET,DH8D,16,
YSSY,MARLN,,25,,JET,DH8D,12,

YSSY,MARLN,,34L,,NONJET,,20,
YSSY,MARLN,,34R,,NONJET,,17,
YSSY,MARLN,,16L,,NONJET,,19,
YSSY,MARLN,,16L,,NONJET,,20,
YSSY,MARLN,,07,,NONJET,,18,
YSSY,MARLN,,25,,NONJET,,13,

YSSY,RIVET,,34L,,JET,DH8D,15,
YSSY,RIVET,,34R,,JET,DH8D,18,
YSSY,RIVET,,16L,,JET,DH8D,18,
YSSY,RIVET,,16L,,JET,DH8D,15,
YSSY,RIVET,,07,,JET,DH8D,11,
YSSY,RIVET,,25,,JET,DH8D,16,

YSSY,RIVET,,34L,,NONJET,,17,
YSSY,RIVET,,34R,,NONJET,,20,
YSSY,RIVET,,16L,,NONJET,,20,
YSSY,RIVET,,16L,,NONJET,,17,
YSSY,RIVET,,07,,NONJET,,12,
YSSY,RIVET,,25,,NONJET,,18,

YSSY,WELSH,,34L,,JET,DH8D,16,
YSSY,WELSH,,34R,,JET,DH8D,18,
YSSY,WELSH,,16L,,JET,DH8D,18,
YSSY,WELSH,,16L,,JET,DH8D,16,
YSSY,WELSH,,07,,JET,DH8D,11,
YSSY,WELSH,,25,,JET,DH8D,17,

YSSY,WELSH,,34L,,NONJET,,18,
YSSY,WELSH,,34R,,NONJET,,20,
YSSY,WELSH,,16L,,NONJET,,21,
YSSY,WELSH,,16L,,NONJET,,18,
YSSY,WELSH,,07,,NONJET,,13,
YSSY,WELSH,,25,,NONJET,,19,

